,Masked_sentences,Labels
22,"“Bishop Valdespino, I want to thank you for arranging this meeting.” “I appreciate your requesting it.” The bishop’s voice was stronger than [MASK] expected—clear and penetrating, like a bell.",Kirsch
23,“It is not often we are consulted by men of [MASK] especially one of your prominence.,"science,"
24,"This way, please.” As Valdespino guided Kirsch [MASK] the platform, the cold mountain airwhipped at the bishop’s cassock.",across
25,"[MASK] must confess,” Valdespino said, “you look different than I imagined.",“I
26,"I was expecting a scientist, but you’re quite…” He [MASK] his guest’s sleek Kiton K50 suit and Barker ostrich shoes with a hint of disdain.",eyed
27,"“ ‘Hip,’ I believe, is [MASK] word?” Kirsch smiled politely.",the
28,The word “hip” went [MASK] of style decades ago.,out
29,"“In reading your list of accomplishments,” the bishop said, “I am still not entirely sure what it is you do.” “I [MASK] in game theory and computer modeling.” “So you make the computer games that the children play?” Kirsch sensed the bishop was feigning ignorance in an attempt to be quaint.",specialize
30,"More accurately, Kirsch [MASK] Valdespino was a frighteningly well-informed student of technology and often warned others of its dangers.","knew,"
31,"“No, sir, actually game theory is a field of mathematics that studies patterns in order to make predictions about the [MASK] “Ah yes.",future.”
32,I believe I read that you predicted [MASK] European monetary crisis some years ago?,a
33,"[MASK] nobody listened, you saved the day by inventing a computer program that pulled the EU back from the dead.",When
34,[MASK] was your famous quote?,What
35,"‘At [MASK] years old, I am the same age as Christ when He performed His resurrection.’ ” Kirsch cringed.",thirty-three
36,"“A poor analogy, Your [MASK]",Grace.
37,I was young.” [MASK] The bishop chuckled.,“Young?”
38,“And how old are you now…perhaps [MASK] “Just.” The old man smiled as the strong wind continued to billow his robe.,forty?”
39,"“Well, the meek were supposed to inherit the earth, but instead it has gone to the young —the technically inclined, [MASK] who stare into video screens rather than into their own souls.",those
40,"I must admit, I never imagined I would have reason to meet the young man leading the [MASK]",charge.
41,"They call you a prophet, you know.” [MASK] a very good one in your case, Your Grace,” Kirsch replied.",“Not
42,"“When I asked if I might meet you and [MASK] colleagues privately, I calculated only a twenty percent chance you would accept.” “And as I told my colleagues, the devout can always benefit from listening to nonbelievers.",your
43,It is in hearing the voice of the devil [MASK] we can better appreciate the voice of God.” The old man smiled.,that
44,“I am [MASK] of course.,"joking,"
45,[MASK] forgive my aging sense of humor.,Please
46,"My filters [MASK] me from time to time.”With that, Bishop Valdespino motioned ahead.",fail
47,[MASK] others are waiting.,“The
48,"This way, please.” Kirsch eyed their destination, a [MASK] citadel of gray stone perched on the edge of a sheer cliff that plunged thousands of feet down into a lush tapestry of wooded foothills.",colossal
49,"Unnerved by the height, Kirsch averted his eyes from the chasm and followed the [MASK] along the uneven cliffside path, turning his thoughts to the meeting ahead.",bishop
50,Kirsch had requested an audience with three prominent religious leaders who had just finished attending a [MASK] here.,conference
51,The Parliament [MASK] the World’s Religions.,of
52,"Since 1893, hundreds of [MASK] leaders from nearly thirty world religions had gathered in a different location every few years to spend a week engaged in interfaith dialogue.",spiritual
53,"Participants included a wide [MASK] of influential Christian priests, Jewish rabbis, and Islamic mullahs from around the world, along with Hindu pujaris, Buddhist bhikkhus, Jains, Sikhs, and others.",array
54,"The parliament’s self-proclaimed objective was “to cultivate harmony among the world’s religions, build bridges between diverse spiritualities, and celebrate the intersections of all faith.” A noble quest, Kirsch thought, despite seeing it as an empty exercise—a meaningless search for [MASK] points of correspondence among a hodgepodge of ancient fictions, fables, and myths.",random
55,"[MASK] Bishop Valdespino guided him along the pathway, Kirsch peered down the mountainside with a sardonic thought.",As
56,Moses climbed a mountain to accept the Word of God…and I have climbed [MASK] mountain to do quite the opposite.,a
57,"Kirsch’s motivation for climbing this mountain, he had told himself, was one [MASK] ethical obligation, but he knew there was a good dose of hubris fueling this visit—he was eager to feel the gratification of sitting face-to-face with these clerics and foretelling their imminent demise.",of
58,You’ve had your run [MASK] defining our truth.,at
59,"“I looked at [MASK] curriculum vitae,” the bishop said abruptly, glancing at Kirsch.",your
60,“I see you’re a product [MASK] Harvard University?” “Undergraduate.,of
61,[MASK] “I see.,Yes.”
62,"Recently, I read that [MASK] the first time in Harvard’s history, the incoming student body consists of more atheists and agnostics than those who identify as followers of any religion.",for
63,"That is quite a telling statistic, Mr. Kirsch.”What can I tell you, Kirsch wanted [MASK] reply, our students keep getting smarter.",to
64,The wind whipped [MASK] as they arrived at the ancient stone edifice.,harder
65,"Inside the dim light of the building’s entryway, the air was heavy with the [MASK] fragrance of burning frankincense.",thick
66,"The two men snaked through a maze of dark corridors, and Kirsch’s eyes fought [MASK] adjust as he followed his cloaked host.",to
67,"Finally, they arrived at [MASK] unusually small wooden door.",an
68,"The bishop knocked, ducked down, and entered, motioning for his guest to [MASK]",follow.
69,"Uncertain, [MASK] stepped over the threshold.",Kirsch
70,He found himself in [MASK] rectangular chamber whose high walls burgeoned with ancient leather-bound tomes.,a
71,"Additional freestanding bookshelves jutted out of the walls like ribs, interspersed with cast-iron radiators [MASK] clanged and hissed, giving the room the eerie sense that it was alive.",that
72,Kirsch raised his eyes to the ornately balustraded walkway [MASK] encircled the second story and knew without a doubt where he was.,that
73,"The famed [MASK] of Montserrat, he realized, startled to have been admitted.",library
74,This sacred room was rumored to contain uniquely rare texts accessible only to those monks who had devoted their lives to [MASK] and who were sequestered here on this mountain.,God
75,"“You asked for discretion,” the bishop [MASK]",said.
76,“This is our most [MASK] space.,private
77,Few outsiders have ever entered.” “A [MASK] privilege.,generous
78,Thank you.” Kirsch followed the bishop to a large wooden table where two [MASK] men sat waiting.,elderly
79,The man on the left looked [MASK] with tired eyes and a matted white beard.,"timeworn,"
80,"He wore a crumpled black suit, [MASK] shirt, and fedora.",white
81,"“This [MASK] Rabbi Yehuda Köves,” the bishop said.",is
82,“He is a prominent Jewish philosopher who has written extensively on [MASK] cosmology.” Kirsch reached across the table and politely shook hands with Rabbi Köves.,Kabbalistic
83,"“A pleasure to meet [MASK] sir,” Kirsch said.","you,"
84,“I’ve read your books on [MASK],Kabbala.
85,"I can’t [MASK] I understood them, but I’ve read them.” Köves gave an amiable nod, dabbing at his watery eyes with his handkerchief.",say
86,"“And here,” the bishop continued, motioning to the other man, “you have the respected allamah, Syed al-Fadl.” The revered Islamic scholar stood [MASK] and smiled broadly.",up
87,He was short and squat with a jovial [MASK] that seemed a mismatch with his dark penetrating eyes.,face
88,He was [MASK] in an unassuming white thawb.,dressed
89,"“And, [MASK] Kirsch, I have readyour predictions on the future of mankind.",Mr.
90,"I can’t say I agree with them, but I have read them.” Kirsch gave [MASK] gracious smile and shook the man’s hand.",a
91,"“And our guest, Edmond Kirsch,” the bishop concluded, addressing his two colleagues, “as you know, [MASK] a highly regarded computer scientist, game theorist, inventor, and something of a prophet in the technological world.",is
92,"[MASK] his background, I was puzzled by his request to address the three of us.",Considering
93,"Therefore, I shall now leave it to Mr. Kirsch to explain why he has come.” With that, Bishop Valdespino [MASK] a seat between his two colleagues, folded his hands, and gazed up expectantly at Kirsch.",took
94,"All three men faced him like a tribunal, creating an ambience more like that of an inquisition than [MASK] friendly meeting of scholars.",a
95,"The bishop, Kirsch [MASK] realized, had not even set out a chair for him.",now
96,Kirsch felt more bemused than intimidated as he studied the three aging men before [MASK],him.
97,So this is the Holy Trinity I [MASK],requested.
98,The Three Wise [MASK],Men.
99,"Pausing a moment to assert his power, Kirsch walked over [MASK] the window and gazed out at the breathtaking panorama below.",to
100,"A sunlit patchwork of ancient pastoral lands stretched across a deep valley, giving way [MASK] the rugged peaks of the Collserola mountain range.",to
101,"Miles beyond, somewhere out over the [MASK] Sea, a menacing bank of storm clouds was now gathering on the horizon.",Balearic
102,"Fitting, Kirsch thought, sensing the turbulence he [MASK] soon cause in this room, and in the world beyond.",would
103,"“Gentlemen,” [MASK] commenced, turning abruptly back toward them.",he
104,“I believe Bishop Valdespino has already conveyed to [MASK] my request for secrecy.,you
105,"Before we continue, I just want to clarify that what I [MASK] about to share with you must be kept in the strictest confidence.",am
106,"Simply stated, I am asking for a [MASK] of silence from all of you.",vow
107,"Are we in agreement?” All three men gave [MASK] of tacit acquiescence, which Kirsch knew were probably redundant anyway.",nods
108,[MASK] will want to bury this information—not broadcast it.,They
109,"“I am here today,” Kirsch [MASK] “because I have made a scientific discovery I believe you will find startling.","began,"
110,"It is something I have pursued for many years, hoping to provide answers to two of the most fundamental questions of our [MASK] experience.",human
111,"Now that I have succeeded, I have come to you specifically because I believe this information will affect the world’s faithful in a profound way, quite possibly [MASK] a shift that can only be described as, shall we say—disruptive.",causing
112,"At the moment, I am the only person on earth who has the information I am about to reveal to you.” Kirsch reached into [MASK] suit coat and pulled out an oversized smartphone—one that he had designed and built to serve his own unique needs.",his
113,"The phone had a vibrantly colored mosaic case, and he propped it [MASK] before the three men like a television.",up
114,"In a moment, [MASK] would use the device to dial into an ultrasecure server, enter his forty-seven-character password, and live-stream a presentation for them.",he
115,"“What you are about to see,” Kirsch said, “is a rough cut of an announcement I hope to share with the world—perhaps in a month or [MASK]",so.
116,"But before I do, I wanted to consult with a few of the world’s most influential religious thinkers, to gain insight into how this news will be received by those it affects most.” The bishop sighed loudly, sounding more bored than [MASK]",concerned.
117,"“An intriguing preamble, Mr. [MASK]",Kirsch.
118,You speak as if whatever you are about to show us will shake the foundations of the world’s religions.” Kirsch glanced around the ancient repository of [MASK] texts.,sacred
119,It will [MASK] shake your foundations.,not
120,It will [MASK] them.,shatter
121,[MASK] appraised the men before him.,Kirsch
122,"What they did not know was [MASK] in only three days’ time, Kirsch planned to go public with this presentation in a stunning, meticulously choreographed event.",that
123,"When he did, people across the world would realize that the teachings of all [MASK] did indeed have one thing in common.",religions
124,They were [MASK] dead wrong.CHAPTER 1 P rofessor Robert Langdon gazed up at the forty-foot-tall dog sitting in the plaza.,all
125,The animal’s [MASK] was a living carpet of grass and fragrant flowers.,fur
126,"I’m trying to [MASK] you, he thought.",love
127,I truly [MASK],am.
128,"Langdon pondered the creature a bit longer and then continued along a suspended walkway, descending a [MASK] terrace of stairs whose uneven treads were intended to jar the arriving visitor from his usual rhythm and gait.",sprawling
129,"Mission accomplished, Langdon decided, nearly stumbling twice [MASK] the irregular steps.",on
130,"At the bottom of the [MASK] Langdon jolted to a stop, staring at a massive object that loomed ahead.","stairs,"
131,Now I’ve seen [MASK] all.,it
132,"A towering [MASK] widow spider rose before him, its slender iron legs supporting a bulbous body at least thirty feet in the air.",black
133,On the spider’s underbelly hung [MASK] wire-mesh egg sac filled with glass orbs.,a
134,"[MASK] name is Maman,” a voice said.",“Her
135,Langdon lowered [MASK] gaze and saw a slender man standing beneath the spider.,his
136,He wore a black brocade sherwani and had an almost [MASK] curling Salvador Dalí mustache.,comical
137,"“My name [MASK] Fernando,” he continued, “and I’m here to welcome you to the museum.” The man perused a collection of name tags on a table before him.",is
138,“May I have your [MASK] please?” “Certainly.,"name,"
139,Robert Langdon.” The man’s [MASK] shot back up.,eyes
140,[MASK] I am so sorry!,"“Ah,"
141,"[MASK] did not recognize you, sir!” I barely recognize myself, Langdon thought, advancing stiffly in his white bow tie, black tails, and white waistcoat.",I
142,I look [MASK] a Whiffenpoof.,like
143,"Langdon’s classic tails were almost thirty years old, preserved from his days as a member of theIvy Club at Princeton, but thanks to his faithful daily regimen [MASK] swimming laps, the outfit still fit him fairly well.",of
144,"In Langdon’s haste to pack, he had grabbed the wrong hanging bag from his closet, leaving [MASK] usual tuxedo behind.",his
145,"“The [MASK] said black and white,” Langdon said.",invitation
146,“I trust tails are appropriate?” “Tails are [MASK] classic!,a
147,You look dashing!” The man scurried [MASK] and carefully pressed a name tag to the lapel of Langdon’s jacket.,over
148,"“It’s an honor to meet you, sir,” the mustached man [MASK]",said.
149,[MASK] doubt you’ve visited us before?” Langdon gazed through the spider’s legs at the glistening building before them.,“No
150,"“Actually, I’m embarrassed to say, I’ve never been.” [MASK] The man feigned falling over.",“No!”
151,“You’re not a fan of modern art?” Langdon had always [MASK] the challenge of modern art—primarily the exploration of why particular works were hailed as masterpieces: Jackson Pollock’s drip paintings; Andy Warhol’s Campbell’s Soup cans; Mark Rothko’s simple rectangles of color.,enjoyed
152,"Even so, Langdon was far more comfortable discussing the religious symbolism of Hieronymus Bosch or the brushwork of Francisco de [MASK]",Goya.
153,"“I’m more [MASK] a classicist,” Langdon replied.",of
154,“I do better with da Vinci than with de Kooning.” “But da Vinci and [MASK] Kooning are so similar!” Langdon smiled patiently.,de
155,"“Then I clearly have a bit to learn about de Kooning.” “Well, you’ve come to the right place!” The man swung his arm toward the massive [MASK]",building.
156,"“In this museum, you will find one of the finest collections of modern art [MASK] earth!",on
157,"[MASK] do hope you enjoy.” “I intend to,” Langdon replied.",I
158,“I only wish I knew why I’m here.” “You and everyone else!” The man laughed [MASK] shaking his head.,"merrily,"
159,“Your host has been very secretive about the purpose of [MASK] event.,tonight’s
160,[MASK] even the museum staff knows what’s happening.,Not
161,The mystery is half the fun of it—rumors are running [MASK],wild!
162,There are [MASK] hundred guests inside—many famous faces —and nobody has any idea what’s on the agenda tonight!” Now Langdon grinned.,several
163,Very few hosts on earth would have [MASK] bravado to send out last-minute invitations that essentially read: Saturday night.,the
164,[MASK] there.,Be
165,Trust [MASK],me.
166,And even fewer would be [MASK] to persuade hundreds of VIPs to dropeverything and fly to northern Spain to attend the event.,able
167,"Langdon walked out [MASK] beneath the spider and continued along the pathway, glancing up at an enormous red banner that billowed overhead.",from
168,"AN EVENING WITH EDMOND KIRSCH Edmond has certainly never [MASK] confidence, Langdon thought, amused.",lacked
169,"Some twenty years ago, young Eddie Kirsch had been one of Langdon’s first students at Harvard University—a mop-haired computer geek whose interest in codes had led him to Langdon’s freshman seminar: Codes, [MASK] and the Language of Symbols.","Ciphers,"
170,"The sophistication of Kirsch’s intellect had impressed Langdon [MASK] and although Kirsch eventually abandoned the dusty world of semiotics for the shining promise of computers, he and Langdon had developed a student–teacher bond that had kept them in contact over the past two decades since Kirsch’s graduation.","deeply,"
171,"Now the [MASK] has surpassed his teacher, Langdon thought.",student
172,By [MASK] lightyears.,several
173,"Today, [MASK] Kirsch was a world-renowned maverick—a billionaire computer scientist, futurist, inventor, and entrepreneur.",Edmond
174,"The forty-year-old had fathered an astounding array of advanced technologies that [MASK] major leaps forward in fields as diverse as robotics, brain science, artificial intelligence, and nanotechnology.",represented
175,And [MASK] accurate predictions about future scientific breakthroughs had created a mystical aura around the man.,his
176,Langdon suspected that [MASK] eerie knack for prognostication stemmed from his astoundingly broad knowledge of the world around him.,Edmond’s
177,"For as long [MASK] Langdon could remember, Edmond had been an insatiable bibliophile—reading everything in sight.",as
178,"The man’s passion for books, and his capacity for absorbing their contents, [MASK] anything Langdon had ever witnessed.",surpassed
179,"For the past few years, [MASK] had lived primarily in Spain, attributing his choice to an ongoing love affair with the country’s old-world charm, avant-garde architecture, eccentric gin bars, and perfect weather.",Kirsch
180,"Once a year, when Kirsch returned to Cambridge to speak at the MIT Media Lab, Langdon would join him for a meal at one of the [MASK] new Boston hot spots that Langdon had never heard of.",trendy
181,[MASK] conversations were never abouttechnology; all Kirsch ever wanted to discuss with Langdon was the arts.,Their
182,"“You’re [MASK] culture connection, Robert,” Kirsch often joked.",my
183,“My own private bachelor of arts!” The playful jab at Langdon’s marital status was particularly ironic coming [MASK] a fellow bachelor who denounced monogamy as “an affront to evolution” and had been photographed with a wide range of supermodels over the years.,from
184,"Considering Kirsch’s reputation as an innovator in computer science, one [MASK] easily have imagined him being a buttoned-up techno-nerd.",could
185,"But he had instead fashioned [MASK] into a modern pop icon who moved in celebrity circles, dressed in the latest styles, listened to arcane underground music, and collected a wide array of priceless Impressionist and modern art.",himself
186,Kirsch often emailed Langdon to get his advice [MASK] new pieces of art he was considering for his collection.,on
187,"And then he would do [MASK] exact opposite, Langdon mused.",the
188,"About a year ago, Kirsch had surprised Langdon by [MASK] him not about art, but about God—an odd topic for a self-proclaimed atheist.",asking
189,"Over a plate of shortrib crudo at Boston’s Tiger Mama, Kirsch had picked Langdon’s brain [MASK] the core beliefs of various world religions, in particular their different stories of the Creation.",on
190,"Langdon gave him a solid [MASK] of current beliefs, from the Genesis story shared by Judaism, Christianity, and Islam, all the way through the Hindu story of Brahma, the Babylonian tale of Marduk, and others.",overview
191,"“I’m curious,” Langdon asked [MASK] they left the restaurant.",as
192,“Why is a futurist so interested in [MASK] past?,the
193,Does this [MASK] our famous atheist has finally found God?” Edmond let out a hearty laugh.,mean
194,“Wishful [MASK],thinking!
195,"I’m just [MASK] up my competition, Robert.” Langdon smiled.",sizing
196,[MASK],Typical.
197,"“Well, science and religion are not [MASK] they’re two different languages trying to tell the same story.","competitors,"
198,"There’s room in this [MASK] for both.” After that meeting, Edmond had dropped out of contact for almost a year.",world
199,"And then, out of the blue, three days ago, Langdon had received a FedEx envelope with a plane ticket, a hotel reservation, and a handwritten note from Edmond urging him [MASK] attend tonight’s event.",to
200,"It read: Robert, it would mean the world to me if you of [MASK] people could attend.",all
201,Your insights during our last [MASK] make this night possible.,conversationhelped
202,[MASK] was baffled.,Langdon
203,Nothing about that conversation seemed remotely relevant to an event [MASK] would be hosted by a futurist.,that
204,The FedEx envelope [MASK] included a black-and-white image of two people standing face-to-face.,also
205,Kirsch had written [MASK] short poem to Langdon.,a
206,"Robert, When you [MASK] me face-to-face, I’ll reveal the empty space.",see
207,—Edmond Langdon smiled when he saw the image—a clever allusion to an [MASK] in which Langdon had been involved several years earlier.,episode
208,"The silhouette of a chalice, or Grail cup, revealed itself [MASK] the empty space between the two faces.",in
209,"Now Langdon stood outside this museum, eager to learn what his former student [MASK] about to announce.",was
210,"A light breeze ruffled his jacket tails [MASK] he moved along the cement walkway on the bank of the meandering Nervión River, which had once been the lifeblood of a thriving industrial city.",as
211,The air smelled vaguely [MASK] copper.,of
212,"As Langdon rounded a bend [MASK] the pathway, he finally permitted himself to look at the massive, glimmering museum.",in
213,[MASK] structure was impossible to take in at a glance.,The
214,"[MASK] his gaze traced back and forth along the entire length of the bizarre, elongated forms.","Instead,"
215,"This building doesn’t just [MASK] the rules, Langdon thought.",break
216,[MASK] ignores them completely.,It
217,A perfect spot for [MASK],Edmond.
218,"The Guggenheim Museum in Bilbao, Spain, looked like something out of analien hallucination—a swirling collage of warped metallic forms that appeared [MASK] have been propped up against one another in an almost random way.",to
219,"[MASK] into the distance, the chaotic mass of shapes was draped in more than thirty thousand titanium tiles that glinted like fish scales and gave the structure a simultaneously organic and extraterrestrial feel, as if some futuristic leviathan had crawled out of the water to sun herself on the riverbank.",Stretching
220,"When the building was first unveiled in 1997, The New [MASK] hailed its architect, Frank Gehry, as having designed “a fantastic dream ship of undulating form in a cloak of titanium,” while other critics around the world gushed, “The greatest building of our time!” “Mercurial brilliance!” “An astonishing architectural feat!” Since the museum’s debut, dozens of other “deconstructionist” buildings had been erected—the Disney Concert Hall in Los Angeles, BMW World in Munich, and even the new library at Langdon’s own alma mater.",Yorker
221,"Each featured radically unconventional design and construction, [MASK] yet Langdon doubted any of them could compete with the Bilbao Guggenheim for its sheer shock value.",and
222,"As Langdon approached, the tiled facade seemed to morph with each step, offering a fresh personality from every [MASK]",angle.
223,The museum’s most [MASK] illusion now became visible.,dramatic
224,"Incredibly, from this perspective, the colossal structure appeared to be quite literally floating on water, adrift on a vast “infinity” lagoon [MASK] lapped against the museum’s outer walls.",that
225,Langdon paused a moment to marvel at the effect and then set [MASK] to cross the lagoon via the minimalist footbridge that arched over the glassy expanse of water.,out
226,He was only halfway [MASK] when a loud hissing noise startled him.,across
227,It [MASK] emanating from beneath his feet.,was
228,He stopped short just [MASK] a swirling cloud of mist began billowing out from beneath the walkway.,as
229,"The thick veil of fog rose around him and then tumbled outward across the lagoon, [MASK] toward the museum and engulfing the base of the entire structure.",rolling
230,"The Fog Sculpture, [MASK] thought.",Langdon
231,He had read about this work by [MASK] artist Fujiko Nakaya.,Japanese
232,"The “sculpture” was revolutionary in that it was constructed out of the medium of visible air, a wall of fog that materialized and dissipated over time; and because the breezes and atmospheric conditions were never [MASK] one day to the next, the sculpture was different every time it appeared.",identical
233,"The bridge [MASK] hissing, and Langdon watched the wall of fog settle silently across the lagoon, swirling and creeping as if it had a mind of its own.The effect was both ethereal and disorienting.",stopped
234,"The entire museum now appeared to be [MASK] over the water, resting weightlessly on a cloud—a ghost ship lost at sea.",hovering
235,"Just as Langdon was about to set out again, the tranquil surface of the water was [MASK] by a series of small eruptions.",shattered
236,"Suddenly five flaming [MASK] of fire shot skyward out of the lagoon, thundering steadily like rocket engines that pierced the mist-laden air and threw brilliant bursts of light across the museum’s titanium tiles.",pillars
237,"Langdon’s own architectural taste tended more to the classical stylings of museums like the Louvre or the Prado, and yet as he watched the fog and flame hover above the [MASK] he could think of no place more suitable than this ultramodern museum to host an event thrown by a man who loved art and innovation, and who glimpsed the future so clearly.","lagoon,"
238,"Now, walking through the [MASK] Langdon pressed on to the museum’s entrance —an ominous black hole in the reptilian structure.","mist,"
239,"As he neared the threshold, Langdon had the uneasy sense [MASK] he was entering the mouth of a dragon.CHAPTER 2 N avy admiral Luis Ávila was seated on a bar stool inside a deserted pub in an unfamiliar town.",that
240,"He was drained from his journey, having just flown into [MASK] city after a job that had taken him many thousands of miles in twelve hours.",this
241,He took [MASK] sip of his second tonic water and stared at the colorful array of bottles behind the bar.,a
242,"Any man can stay sober in a desert, he [MASK] but only the loyal can sit in an oasis and refuse to part his lips.","mused,"
243,Ávila had not [MASK] his lips for the devil in almost a year.,parted
244,"As he eyed his reflection in the [MASK] bar, he permitted himself a rare moment of contentment with the image looking back at him.",mirrored
245,Ávila was one of those fortunate Mediterranean men for whom [MASK] seemed to be more an asset than a liability.,aging
246,"Over the years, his stiff black stubble had softened to a distinguished salt-and-pepper beard, his fiery dark eyes had relaxed to a serene confidence, and his taut olive skin was now sun-drenched and creased, giving him [MASK] aura of a man permanently squinting out to sea.",the
247,"Even at sixty-three [MASK] old, his body was lean and toned, an impressive physique further enhanced by his tailored uniform.",years
248,"At the moment, Ávila was clothed in his full-dress navy whites—a regal-looking livery consisting of a double-breasted white jacket, broad black shoulder boards, an [MASK] array of service medals, a starched white standing-collar shirt, and silk-trimmed white slacks.",imposing
249,"The Spanish Armada may not be the most potent navy on earth anymore, [MASK] we still know how to dress an officer.",but
250,"The admiral had not donned this uniform in years—but this was [MASK] special night, and earlier, as he walked the streets of this unknown town, he had enjoyed the favorable looks of women as well as the wide berth afforded him by men.",a
251,Everyone respects those who live by a [MASK],code.
252,“¿Otra tónica?” the pretty [MASK] asked.,barmaid
253,"She was [MASK] her thirties, was full-figured, and had a playful smile.",in
254,Ávila [MASK] his head.,shook
255,"“No, gracias.” This pub [MASK] entirely empty, and Ávila could feel the barmaid’s eyes admiring him.",was
256,It felt [MASK] to be seen again.,good
257,I have returned [MASK] the abyss.,from
258,The horrific event that all but destroyed Ávila’s life five years ago would forever lurk in the recesses of his mind—a single deafening instant in which the earth had [MASK] up and swallowed him whole.,opened
259,[MASK] of Seville.,Cathedral
260,Easter [MASK],morning.
261,"The Andalusian sun was [MASK] through stained glass, splashing kaleidoscopes of color in radiant bursts across the cathedral’s stone interior.",streaming
262,The pipe [MASK] thundered in joyous celebration as thousands of worshippers celebrated the miracle of resurrection.,organ
263,"Ávila knelt at the Communion rail, his heart [MASK] with gratitude.",swelling
264,"After a lifetime of service to the sea, he had been [MASK] with the greatest of God’s gifts —a family.",blessed
265,"Smiling broadly, Ávila turned and glanced back over his shoulder at his young wife, María, who was still seated in the pews, far too pregnant to [MASK] the long walk up the aisle.",make
266,"Beside [MASK] their three-year-old son, Pepe, waved excitedly at his father.","her,"
267,Ávila winked at the [MASK] and María smiled warmly at her husband.,"boy,"
